ID#age#job#marital#education#default#balance#housing#loan#contact#day#month#campaign#pdays#previous#poutcome#y
41360#55,0#management#married#tertiary#no#2960,0#yes#no#cellular#31#aug#1,0#98,0#11#other#no
42366#37,0#management#married#tertiary#no#4842,0#yes#no#cellular#25#nov#1,0#-1,0#0#unknown#no
12937#31,0#management#single#tertiary#no#1598,0#yes#no#cellular#7#jul#33,0#-1,0#0#unknown#no
37543#29,0#admin.#single#secondary#no#65,0#yes#no#cellular#14#may#6,0#-1,0#0#unknown#no
29012#55,0#management#divorced#tertiary#no#-207,0#no#no#cellular#2#feb#1,0#-1,0#0#unknown#no
23467#56,0#retired#married#primary#yes#-123,0#no#yes#cellular#28#aug#3,0#-1,0#0#unknown#no
33298#40,0#admin.#single#secondary#no#2360,0#yes#no#cellular#20#apr#2,0#-1,0#0#unknown#no
6088#43,0#management#single#secondary#no#109,0#yes#no#unknown#27#may#3,0#-1,0#0#unknown#no
29699#45,0#management#married#tertiary#no#1199,0#no#no#telephone#3#feb#2,0#-1,0#0#unknown#no
31871#26,0#student#single#secondary#no#766,0#no#no#cellular#9#apr#6,0#-1,0#0#unknown#no
20691#43,0#services#married#secondary#no#378,0#no#yes#cellular#12#aug#4,0#-1,0#0#unknown#no
32504##services#married#secondary#no#798,0#no#no#cellular#17#apr#1,0#338,0#1#other#no
42247#48,0#blue-collar#married#secondary#no#1230,0#yes#no#cellular#12#nov#1,0#196,0#2#success#yes
11545#55,0#housemaid#married#primary#no#1537,0#no#no#unknown#19#jun#1,0#-1,0#0#unknown#no
20895#35,0#technician#single#tertiary#no#354,0#yes#no#cellular#13#aug#1,0#-1,0#0#unknown#no
42485#40,0#management#single#tertiary#no#3797,0#no#no#cellular#14#dec#1,0#195,0#2#failure#no
44211#46,0#management#married#secondary#no#766,0#yes#no#unknown#16#jul#1,0#-1,0#0#unknown#no
5310##management#married#unknown#no#18347,0#yes#no#unknown#23#may#1,0#-1,0#0#unknown#no
21467#37,0#technician#single#tertiary#no#453,0#no#no#cellular#18#aug#4,0#-1,0#0#unknown#no
25323#35,0#blue-collar#married#secondary#no#1055,0#no#no#unknown#18#nov#2,0#-1,0#0#unknown#yes
40855#32,0#management#single#tertiary#no#3283,0#no#no#cellular#12#aug#2,0#191,0#2#success#yes
6269#54,0#admin.#divorced#secondary#no#-288,0#yes#no#unknown#27#may#2,0#-1,0#0#unknown#no
44688#52,0#management#married#unknown#no#1708,0#no#no#unknown#6#sep#1,0#75,0#4#failure#yes
42779#42,0#management#single#tertiary#no#7560,0#no#no#cellular#28#jan#1,0#-1,0#0#unknown#yes
3726#44,0#housemaid#married#primary#yes#-972,0#yes#yes#unknown#16#may#2,0#-1,0#0#unknown#no
23236#36,0#technician#married#secondary#no#30,0#no#no#cellular#27#aug#2,0#-1,0#0#unknown#no
17632#42,0#technician#single#unknown#no#2193,0#no#no#cellular#29#jul#2,0#-1,0#0#unknown#no
40925#53,0#services#married#unknown#no#442,0#yes#no#cellular#12#aug#1,0#36,0#2#other#no
20196#46,0#technician#divorced#secondary#yes#-11,0#no#no#cellular#11#aug#2,0#-1,0#0#unknown#no
37773#38,0#blue-collar#married#primary#no#132,0#yes#no#cellular#14#may#2,0#-1,0#0#unknown#no
33326#42,0#entrepreneur#single#secondary#no#1049,0#yes#yes#cellular#20#apr#1,0#-1,0#0#unknown#no
36644#38,0#blue-collar#married#primary#no#4592,0#yes#no#cellular#12#may#1,0#-1,0#0#unknown#no
17535#59,0#management#married#secondary#no#-1246,0#no#no#telephone#29#jul#2,0#-1,0#0#unknown#no
30955#36,0#unemployed#single#secondary#no#115,0#no#no#cellular#9#feb#2,0#-1,0#0#unknown#no
179#54,0#services#married#secondary#no#214,0#yes#no#unknown#5#may#2,0#-1,0#0#unknown#no
37628#28,0#student#single#tertiary#no#170,0#no#no#telephone#14#may#5,0#-1,0#0#unknown#no
332#42,0#blue-collar#married#unknown#no#57,0#yes#no#unknown#5#may#2,0#-1,0#0#unknown#no
9381#26,0#technician#single#secondary#no#639,0#yes#no#unknown#6#jun#5,0#-1,0#0#unknown#yes
40954#52,0#technician#married#tertiary#no#1785,0#no#no#cellular#13#aug#1,0#-1,0#0#unknown#no
27636#41,0#management#married#tertiary#no#4063,0#yes#no#cellular#21#nov#2,0#-1,0#0#unknown#no
17146####secondary#no###yes#cellular#28#jul###0#unknown#no
19684#36,0#technician#single#secondary#no#651,0#no#no#cellular#7#aug#1,0#-1,0#0#unknown#yes
1691#32,0#blue-collar#divorced#secondary#no#739,0#yes#no#unknown#9#may#1,0#-1,0#0#unknown#no
43973#25,0#student#single#secondary#no#1957,0#no#no#cellular#24#jun#4,0#385,0#1#failure#yes
19501#36,0#management#single#tertiary#no#5340,0#yes#no#cellular#7#aug#4,0#-1,0#0#unknown#no
43250#31,0#management#single#tertiary#no#147,0#no#no#cellular#9#mar#1,0#181,0#2#success#yes
40096#24,0#unemployed#single#secondary#no#572,0#no#no#cellular#4#jun#3,0#-1,0#0#unknown#no
28905#26,0#services#single#secondary#no#110,0#no#no#cellular#30#jan#2,0#-1,0#0#unknown#yes
43852##management#single#tertiary#no#515,0#no#no#cellular#1#jun#5,0#-1,0#0#unknown#yes
27948#32,0#blue-collar#single#secondary#no#2746,0#no#no#cellular#28#jan#1,0#-1,0#0#unknown#no
15058#31,0#technician#single#unknown#no#187,0#no#no#cellular#17#jul#1,0#-1,0#0#unknown#no
15660##retired#divorced#tertiary#no#158,0#no#yes#cellular#21#jul#1,0#-1,0#0#unknown#yes
17996#58,0#management#married#secondary#no#2739,0#yes#no#cellular#30#jul#6,0#-1,0#0#unknown#no
35436#40,0#unemployed#divorced#secondary#no#193,0#yes#no#cellular#7#may#1,0#357,0#1#failure#no
1759#33,0#technician#divorced#secondary#yes#-305,0#no#yes#unknown#9#may#1,0#-1,0#0#unknown#no
33813#36,0#admin.#married#secondary#no#0,0#yes#no#cellular#24#apr#2,0#-1,0#0#unknown#no
30583#49,0#entrepreneur#divorced#tertiary#no#1145,0#yes#yes#cellular#6#feb#4,0#-1,0#0#unknown#no
7734#24,0#technician#single#secondary#no#278,0#yes#no#unknown#30#may#1,0#-1,0#0#unknown#no
11789#36,0#management#married#tertiary#no#1355,0#yes#no#unknown#20#jun#8,0#-1,0#0#unknown#no
23227#31,0#management#single#secondary#no#36,0#no#no#cellular#27#aug#2,0#-1,0#0#unknown#no
30505#38,0#housemaid#married#secondary#no#333,0#yes#no#cellular#5#feb#2,0#202,0#1#other#no
44375##technician#married#unknown#no#240,0#yes#no#cellular#2#aug#3,0#277,0#1#success#yes
34293#35,0#services#married#secondary#no#17,0#yes#no#cellular#4#may#4,0#-1,0#0#unknown#no
25576#49,0#technician#divorced#secondary#no#342,0#no#yes#cellular#19#nov#3,0#-1,0#0#unknown#no
38361#58,0#blue-collar#married#primary#no#781,0#yes#no#cellular#15#may#2,0#-1,0#0#unknown#no
8554#39,0#blue-collar#married#secondary#no#203,0#yes#no#unknown#3#jun#1,0#-1,0#0#unknown#no
12248#36,0#unemployed#married#tertiary#no#4145,0#no#no#unknown#20#jun#4,0#-1,0#0#unknown#yes
37387#33,0#entrepreneur#single#tertiary#no#1481,0#yes#no#cellular#13#may#3,0#173,0#1#other#no
31294##management#married#tertiary#no#2351,0#no#no#cellular#10#mar#1,0#-1,0#0#unknown#yes
10859#47,0#technician#divorced#secondary#no#431,0#no#yes#unknown#17#jun#9,0#-1,0#0#unknown#no
1941#46,0#blue-collar#married#primary#no#881,0#yes#no#unknown#9#may#2,0#-1,0#0#unknown#no
6342#51,0#technician#married#secondary#no#-1042,0#yes#no#unknown#27#may#2,0#-1,0#0#unknown#no
9768#37,0#admin.#married#secondary#yes#0,0#no#no#unknown#9#jun#1,0#-1,0#0#unknown#no
21640##management#married#tertiary#no#3228,0#no#no#cellular#19#aug#2,0#-1,0#0#unknown#no
8911#26,0#blue-collar#single#primary#no#3342,0#yes#no#unknown#4#jun#4,0#-1,0#0#unknown#no
32469#35,0#blue-collar#married#secondary#no#126,0#yes#no#cellular#16#apr#1,0#-1,0#0#unknown#no
356##admin.#single#secondary#no#12,0#yes#no#unknown#5#may#2,0#-1,0#0#unknown#no
16948#33,0#management#married#primary#no#91,0#no#yes#cellular#25#jul#3,0#-1,0#0#unknown#no
23217#47,0#admin.#married#secondary#no#1647,0#no#no#cellular#27#aug#13,0#-1,0#0#unknown#no
71#57,0#blue-collar#married#secondary#no#5935,0#yes#yes#unknown#5#may#1,0#-1,0#0#unknown#no
26249#39,0#blue-collar#married#secondary#no#660,0#yes#yes#cellular#20#nov#1,0#185,0#2#failure#no
7127#39,0#technician#divorced#secondary#no#394,0#yes#no#unknown#29#may#1,0#-1,0#0#unknown#no
16203#35,0#management#single#secondary#no#1031,0#yes#no#cellular#22#jul#1,0#-1,0#0#unknown#no
29137#26,0#management#single#tertiary#no#0,0#no#yes#cellular#2#feb#1,0#199,0#1#failure#no
35011#49,0#services#married#primary#no#0,0#yes#no#cellular#6#may#2,0#166,0#3#failure#yes
25436#34,0#entrepreneur#married#secondary#no#1368,0#yes#no#cellular#18#nov#2,0#-1,0#0#unknown#no
10546#51,0#admin.#married#secondary#no#924,0#yes#no#unknown#16#jun#3,0#-1,0#0#unknown#no
4061#26,0#technician#divorced#secondary#no#379,0#yes#yes#unknown#19#may#3,0#-1,0#0#unknown#no
3864#44,0#blue-collar#divorced#unknown#no#532,0#no#no#unknown#16#may#2,0#-1,0#0#unknown#no
